BV,b,l,SAO,SPtype,Vmag,name,J2000_a,J2000_d,RAhms,DEdms
-0.1,-45.39,173.08,110921,B7V,5.61,93    Cet,45.59375,4.352777778, 4 21    10,-45.39173.08  3  2
1.64,-45.59,173.32,110920,M1.5IIIa,2.53,92Alp Cet,45.57,4.089722222, 4  5    23,-45.59173.32  3  2
1.11,-54.8,190.03,148721,gG6,5.83,         ,45.48375,-9.961388889, 9 57    41,-54.8190.03  3  1
0.6,-52.74,185.31,130251,G0IV-V,6.19,         ,45.53875,-6.494722222, 6 29    41,-52.74185.31  3  2
0.79,-61.23,222.48,168238,G5IV,5.89,  Eps For,45.40708333,-28.09166667,28  5    30,-61.23222.48  3  1
0.7,-4.34,142.07,23789,G8III+A2V,2.93,23Gam Per,46.19916667,53.50638889,53 30    23,-4.34142.07  3  4
0.94,-53.34,187.04,130254,K0II-III,5.32, 9Rho2Eri,45.67625,-7.685277778, 7 41     7,-53.34187.04  3  2
1.02,-1.5,140.59,23791,G9.5III,4.76,         ,46.385,56.70583333,56 42    21,-1.5140.59  3  5
0.16,-60.29,213.54,168249,A4IV,4.09,11Tau3Eri,45.59791667,-23.62444444,23 37    28,-60.29213.54  3  2
1.02,-2.04,140.92,23793,G9III,6.11,         ,46.41625,56.06861111,56  4     7,-2.04140.92  3  5
1.65,-17.01,149.6,56138,M4II,3.39,25Rho Per,46.29416667,38.84027778,38 50    25,-17.01149.6  3  5
-0.03,5,137.14,12608,B9V,5.89,         ,46.82916667,64.05777778,64  3    28,5.0137.14  3  7
1.01,-15.49,148.7,38559,K0III,6.05,         ,46.33666667,40.5825,40 34    57,-15.49148.7  3  5
0.2,-52.98,187.3,130269,A8V,5.26,10Rho3Eri,46.06833333,-7.600833333, 7 36     3,-52.98187.3  3  4
1.04,-46.77,176.17,110945,K0III,6.05,         ,46.15875,1.863611111, 1 51    49,-46.77176.17  3  4
-0.02,-28.47,157.53,75723,B7V,6.8,52    Ari,46.36125,25.25527778,25 15    19,-28.47157.53  3  5
1.3,-57.5,259.36,216150,K2-3III,5.82,         ,45.73291667,-46.975,46 58    30,-57.5259.36  3  2
-0.01,-5.21,143.14,23825,B5V,6.31,         ,47.01625,52.21333333,52 12    48,-5.21143.14  3  8
1.08,-38.06,166.31,93276,K3III,5.62,         ,46.59875,13.18722222,13 11    14,-38.06166.31  3  6
0.02,14.08,132.11,4840,A2Vnn,4.87,         ,47.98458333,74.39361111,74 23    37,14.08132.11  3 11
0.12,-9.47,145.59,38587,A3Vnn,6.41,         ,46.9475,47.30833333,47 18    30,-9.47145.59  3  7
0.34,-50.34,277.43,232981,F0IV,5.11,  Mu  Hor,45.90333333,-59.73777778,59 44    16,-50.34277.43  3  3
1.6,-51.62,185.87,130284,M3III,5.27,         ,46.63958333,-6.088611111, 6  5    19,-51.62185.87  3  6
-0.05,-14.9,148.98,38592,B8V,2.12,26Bet Per,47.04208333,40.95555556,40 57    20,-14.9148.98  3  8
0.59,-7.39,144.58,38597,G0V,4.05,  Iot Per,47.26666667,49.61333333,49 36    48,-7.39144.58  3  9
-0.12,-34.21,162.98,93284,B1.5V,6.11,53    Ari,46.85708333,17.88,17 52    48,-34.21162.98  3  7
-0.14,-41.76,289.93,255945,B3V+A0IV,5.53,  The Hyi,45.56416667,-71.9025,71 54     9,-41.76289.93  3  2
1.58,-33.35,162.53,93293,M0III,6.27,54    Ari,47.08833333,18.795,18 47    42,-33.35162.53  3  8
0.98,-11.43,147.12,38609,K0III,3.8,27Kap Per,47.37416667,44.85722222,44 51    26,-11.43147.12  3  9
1.06,-41.3,170.83,111002,G9III,6.28,         ,47.16125,8.470833333, 8 28    15,-41.3170.83  3  8
0.16,-59.84,222.28,168321,A5V,6.19,         ,46.96208333,-27.83111111,27 49    52,-59.84222.28  3  7
0.12,-24.78,156.01,75757,B8III,5.72,55    Ari,47.40291667,29.07694444,29  4    37,-24.78156.01  3  9
0.01,-25.75,156.9,75762,A0V,6.42,         ,47.53666667,27.82,27 49    12,-25.75156.9  3 10
1.28,-26.48,157.54,75771,K3III,6.02,         ,47.6125,26.89638889,26 53    47,-26.48157.54  3 10
1.11,-15.73,150.23,56224,K1III,4.63,28Ome Per,47.8225,39.61166667,39 36    42,-15.73150.23  3 11
-0.06,-38.41,168.4,93320,B8V,5.98,         ,47.66208333,11.8725,11 52    21,-38.41168.4  3 10
1.43,-8.71,146.06,38638,K5III,6.33,         ,48.11,47.72583333,47 43    33,-8.71146.06  3 12
-0.09,-13.3,148.87,38635,B4V,6.15,         ,48.04,42.37611111,42 22    34,-13.3148.87  3 12
1.03,-32.14,162.6,93328,K2III,4.35,57Del Ari,47.9075,19.72666667,19 43    36,-32.14162.6  3 11
1.02,-37.4,167.61,93327,K0IIIp,6.12,         ,47.84125,13.04777778,13  2    52,-37.4167.61  3 11
0.93,-58.5,214.63,168354,K0IV,6.38,         ,47.6475,-23.73833333,23 44    18,-58.5214.63  3 10
-0.12,-25.95,157.68,75788,B9pSi,5.79,56    Ari,48.05916667,27.25694444,27 15    25,-25.95157.68  3 12
1.66,-49.29,184.19,130328,M1III,6.05,         ,47.82833333,-3.811666667, 3 48    42,-49.29184.19  3 11
0.97,-8.25,145.96,38652,G9III,5.9,         ,48.35,48.17694444,48 10    37,-8.25145.96  3 13
1.2,-55.78,201.29,148821,K0,6.26,         ,47.82,-16.02527778,16  1    31,-55.78201.29  3 11
1.08,-41.99,173.4,111044,K1IIIep+A6V,5.56,         ,48.11,6.660833333, 6 39    39,-41.99173.4  3 12
1.02,-43.42,287.07,248742,K1III,6.15,         ,46.955,-69.26555556,69 15    56,-43.42287.07  3  7
1.12,-55.59,261.22,216197,K1III,6.12,         ,47.61416667,-48.73416667,48 44     3,-55.59261.22  3 10
0.19,17.16,130.66,4875,A6V,5.45,         ,50.08208333,77.73472222,77 44     5,17.16130.66  3 20
0.57,-47.34,181.5,130355,F8V,5.06,94    Cet,48.19333333,-1.196111111, 1 11    46,-47.34181.5  3 12
0.52,-59.04,224.75,168373,F8V,3.87,  Alp For,48.01791667,-28.98694444,28 59    13,-59.04224.75  3 12
0.73,-0.41,141.57,23903,A0Ia,5.79,         ,48.95,57.14083333,57  8    27,-0.41141.57  3 15
0.92,23.2,126.5,550,G3IIp:+F0:V,5.61,         ,53.08375,84.91111111,84 54    40,23.2126.5  3 32
1.07,-12.92,149.24,38674,K2III,6.07,         ,48.73625,42.50388889,42 30    14,-12.92149.24  3 14
0.09,6.93,137.24,12686,A3V,6.36,         ,49.38166667,65.65861111,65 39    31,6.93137.24  3 17
0.44,-56.96,253.82,216209,F7III+A0V,5.93,         ,48.1075,-44.41972222,44 25    11,-56.96253.82  3 12
1.15,-5.66,144.89,23914,G6Ib-IIa,5.03,         ,49.05083333,50.93777778,50 56    16,-5.66144.89  3 16
-0.08,-58.76,238.21,194163,B8V,6.27,         ,48.25625,-35.94388889,35 56    38,-58.76238.21  3 13
0.01,-22.85,156.23,56285,A1V s,5.52,         ,48.83541667,30.55666667,30 33    24,-22.85156.23  3 15
-0.01,-30.62,162.38,75810,A1V,4.89,58Zet Ari,48.72541667,21.04444444,21  2    40,-30.62162.38  3 14
1.67,-10.41,147.87,38685,M2III,6.16,         ,49.01958333,45.34583333,45 20    45,-10.41147.87  3 16
1.05,-58.76,226.36,168397,K1IICNIII,6.16,         ,48.40833333,-29.80416667,29 48    15,-58.76226.36  3 13
0.37,-20.9,154.91,56293,F4V vw,6.31,         ,48.94583333,32.85638889,32 51    23,-20.9154.91  3 15
0.28,-19.35,153.87,56296,A1m,6.25,         ,49.00791667,34.68861111,34 41    19,-19.35153.87  3 16
2.28,-50.9,273.3,233037,C5II,5.74,         ,48.13833333,-57.32166667,57 19    18,-50.9273.3  3 12
0.99,-21.36,155.47,56308,G8IV,6.06,         ,49.14625,32.18361111,32 11     1,-21.36155.47  3 16
0.04,-58,219.41,168406,A5V,6.25,         ,48.75083333,-26.10027778,26  6     1,-58.0219.41  3 15
0.3,-36.05,295.34,255962,F2II-III,5.57,         ,46.88333333,-78.98944444,78 59    22,-36.05295.34  3  7
-0.06,-11.36,148.85,38704,B8V,5.47,30    Per,49.4475,44.025,44  1    30,-11.36148.85  3 17
-0.02,-49.63,187.86,130388,B9V,6.17,         ,49.00375,-5.918611111, 5 55     7,-49.63187.86  3 16
0.23,-51.31,191.58,130387,A5m,4.8,13Zet Eri,48.95833333,-8.819722222, 8 49    11,-51.31191.58  3 15
-0.15,7.06,137.46,12704,B2.5Ven,4.84,         ,49.9975,65.65222222,65 39     8,7.06137.46  3 19
0.07,-15.34,151.51,56322,A2IV,5.96,         ,49.44083333,39.28333333,39 17     0,-15.34151.51  3 17
-0.06,-6.06,145.6,23944,B3V,5.15,29    Per,49.6575,50.22222222,50 13    20,-6.06145.6  3 18
0.4,-51.33,192.19,130395,F1V,6.14,14    Eri,49.14875,-9.154444444, 9  9    16,-51.33192.19  3 16
-0.06,-6.12,145.74,38714,B5V,5.03,31    Per,49.78166667,50.095,50  5    42,-6.12145.74  3 19
-0.07,-58.26,228.37,194197,A0V,6.65,         ,49.04708333,-30.8275,30 49    39,-58.26228.37  3 16
1.49,-19.43,154.63,56340,K2IICN1,4.82,         ,49.6825,34.22277778,34 13    22,-19.43154.63  3 18
1.04,-46.1,182.52,130408,G9IV,5.38,95    Cet,49.59333333,-0.930277778, 0 55    49,-46.1182.52  3 18
0.33,-57.71,224.61,168449,F3V+A8-9,5.91,         ,49.51166667,-28.79694444,28 47    49,-57.71224.61  3 18
0.9,-56.46,213.26,168452,G6III,4.88,15    Eri,49.59208333,-22.51138889,22 30    41,-56.46213.26  3 18
0.86,-25.11,159.34,75863,G6IV,5.9,59    Ari,49.9825,27.07111111,27  4    16,-25.11159.34  3 19
0.68,-43.08,178.22,111120,G5V,4.83,96Kap1Cet,49.84041667,3.370277778, 3 22    13,-43.08178.22  3 19
0.37,-55.15,206.62,148897,F0IV,5.71,         ,49.67166667,-18.55972222,18 33    35,-55.15206.62  3 18
1.24,-54.94,258.81,216246,K2III,5.85,         ,49.36083333,-47.75166667,47 45     6,-54.94258.81  3 17
1.55,-23.46,158.14,75871,K2II-III,4.47,         ,50.085,29.04833333,29  2    54,-23.46158.14  3 20
1.24,-26.17,160.37,75875,gK3,6.12,60    Ari,50.10666667,25.66277778,25 39    46,-26.17160.37  3 20
0.43,-6.74,146.67,38753,F6V,5.93,         ,50.46916667,49.07083333,49  4    15,-6.74146.67  3 21
0.04,-11.58,149.81,38750,A3V,4.95,32    Per,50.36041667,43.32944444,43 19    46,-11.58149.81  3 21
1.62,-56,212.09,168460,M3.5IIIaCa-1,3.69,16Tau4Eri,49.87916667,-21.75777778,21 45    28,-56.0212.09  3 19
1.66,-56.59,216.21,168462,M2III,5.61,         ,49.895,-24.12305556,24  7    23,-56.59216.21  3 19
-0.07,-29.64,163.66,75886,B5IV,5.28,61Tau1Ari,50.30666667,21.14694444,21  8    49,-29.64163.66  3 21
0.64,-47.22,279.12,248770,G2.5VFe1Hdel 1,5.54,  Zet1Ret,49.4425,-62.57527778,62 34    31,-47.22279.12  3 17
0.97,-42.54,178.32,111142,G8.5III,5.69,97Kap2Cet,50.27833333,3.675555556, 3 40    32,-42.54178.32  3 21
0.71,-56.11,250.78,216263,G8V,4.27,         ,49.98208333,-43.06972222,43  4    11,-56.11250.78  3 19
2.08,6.44,138.46,12743,M0II,5.23,         ,51.16875,64.58611111,64 35    10,6.44138.46  3 24
0.6,-47.23,279,248774,G1V,5.24,  Zet2Ret,49.55375,-62.50638889,62 30    23,-47.23279.0  3 18
-0.07,-6.5,146.78,38768,B5V,5.29,         ,50.805,49.21333333,49 12    48,-6.5146.78  3 23
1.1,-24.38,159.43,75892,G5III,5.52,62    Ari,50.54958333,27.6075,27 36    27,-24.38159.43  3 22
0.54,-56.82,220.75,168475,F7V,6.39,         ,50.18833333,-26.60638889,26 36    23,-56.82220.75  3 20
0.13,-44.38,283.83,248776,A3V,6.05,         ,49.49583333,-66.92694444,66 55    37,-44.38283.83  3 17
1.24,-29.73,164.27,75899,K3III,5.09,63Tau2Ari,50.68833333,20.74194444,20 44    31,-29.73164.27  3 22
0.88,-56.07,215.54,168482,G6.5IIbCN-1Hdel -1,5.52,         ,50.35,-23.63527778,23 38     7,-56.07215.54  3 21
0.48,-5.86,146.57,38787,F5Ib,1.79,33Alp Per,51.08083333,49.86111111,49 51    40,-5.86146.57  3 24
0.01,-56.3,219.04,168493,A0V,6.35,         ,50.56791667,-25.58777778,25 35    16,-56.3219.04  3 22
-0.03,-19.3,156.09,56419,A0V,5.61,         ,51.12375,33.53583333,33 32     9,-19.3156.09  3 24
0.29,-2.36,144.5,24024,A9III-IV,6.51,         ,51.45166667,53.92166667,53 55    18,-2.36144.5  3 25
1,-54.29,258.4,216278,K0III,6.39,         ,50.38875,-47.77694444,47 46    37,-54.29258.4  3 21
1.19,-26.39,161.78,75912,gK4,5.5,64    Ari,51.07708333,24.72416667,24 43    27,-26.39161.78  3 24
0.86,-41.26,177.72,111161,G5III,6.38,         ,50.91291667,4.881944444, 4 52    55,-41.26177.72  3 23
0.7,-49.2,191.8,130457,G2V,6.2,         ,50.82416667,-7.794166667, 7 47    39,-49.2191.8  3 23
0.44,-37.01,293.66,255973,F4III,5.52,  Iot Hyi,48.99,-77.38833333,77 23    18,-37.01293.66  3 15
-0.04,-29.43,164.58,75915,A1V,6.08,65    Ari,51.10875,20.80361111,20 48    13,-29.43164.58  3 24
1.23,-35.66,170.87,93416,K0III-IV,6.04,         ,51.04208333,12.62944444,12 37    46,-35.66170.87  3 24
-0.07,-6.33,147.2,38817,B7V,6.09,         ,51.48916667,49.12083333,49  7    15,-6.33147.2  3 25
0.89,-38.16,174.12,111172,G6IIIFe-1,3.6, 1Omi Tau,51.20333333,9.028888889, 9  1    44,-38.16174.12  3 24
1.37,-56.71,231.95,194268,K3III,6.5,         ,50.93583333,-32.70722222,32 42    26,-56.71231.95  3 23
1.8,12.72,134.7,4917,M2III,6.32,         ,52.58125,71.86388889,71 51    50,12.72134.7  3 30
0.02,3.09,141.25,12770,B9V+A1,6.49,         ,52.09833333,60.25555556,60 15    20,3.09141.25  3 28
-0.09,-6.19,147.52,38849,B5V,4.98,         ,52.01291667,49.06277778,49  3    46,-6.19147.52  3 28
0.41,2.88,141.5,24054,B9Ia,4.21,         ,52.26708333,59.94027778,59 56    25,2.88141.5  3 29
0.15,-30.61,166.64,93436,A3Vnp,6.57,         ,51.76333333,18.75638889,18 45    23,-30.61166.64  3 27
-0.04,-5.46,147.19,38862,B6Vn,5.58,         ,52.21833333,49.84833333,49 50    54,-5.46147.19  3 28
-0.09,-37.25,174.01,111195,B9Vn,3.74, 2Xi  Tau,51.7925,9.732777778, 9 43    58,-37.25174.01  3 27
-0.02,-35.06,171.47,93439,A0V s,6.28,         ,51.82791667,12.735,12 44     6,-35.06171.47  3 27
0.56,2.06,142.19,24061,A0Ia,4.54,         ,52.47875,58.87861111,58 52    43,2.06142.19  3 29
0.02,-18.61,156.6,56475,A2V,5.61,         ,52.08666667,33.8075,33 48    27,-18.61156.6  3 28
0.08,-56.16,237.74,194289,A1IV,6.39,  Chi1For,51.4825,-35.92083333,35 55    15,-56.16237.74  3 25
0.08,2.49,141.94,24062,A2V,6.13,         ,52.54708333,59.36611111,59 21    58,2.49141.94  3 30
-0.09,-5.7,147.45,38872,B3V,4.67,34    Per,52.34208333,49.50888889,49 30    32,-5.7147.45  3 29
0.94,-55.7,222.37,168544,G5III,5.93,         ,51.59375,-27.3175,27 19     3,-55.7222.37  3 26
0.05,-0.75,144.14,24064,A1V,5.09,         ,52.50083333,55.45194444,55 27     7,-0.75144.14  3 30
0.13,-7.8,148.93,38874,B7V,6.24,         ,52.35916667,46.93777778,46 56    16,-7.8148.93  3 29
0.95,-27.29,163.95,75945,K0IV,6.03,66    Ari,52.11083333,22.80416667,22 48    15,-27.29163.95  3 28
0.06,-55.3,247.78,216316,A0V,6.32,         ,51.54875,-41.63694444,41 38    13,-55.3247.78  3 26
1.1,-50.01,197.35,148972,K2III,5.73,         ,52.00416667,-11.28666667,11 17    12,-50.01197.35  3 28
-0.04,-6.73,148.42,38893,B8V,5.82,         ,52.65416667,48.10361111,48  6    13,-6.73148.42  3 30
1.35,-6.83,148.48,38890,K3III,4.36,35Sig Per,52.64375,47.99527778,47 59    43,-6.83148.48  3 30
0.48,-42.15,286.07,248797,G0-5+A3-5V,6.15,         ,51.01041667,-69.62472222,69 37    29,-42.15286.07  3 24
1.29,-55.85,237.27,194312,K2III,5.71,  Chi2For,51.88916667,-35.68138889,35 40    53,-55.85237.27  3 27
0.03,14.14,134.1,4936,A0Vn,6.57,         ,53.80166667,73.34694444,73 20    49,14.14134.1  3 35
0.09,-5.74,147.9,38906,A0Vn,6.29,         ,52.8725,49.20972222,49 12    35,-5.74147.9  3 31
0.13,-55.71,237.56,194318,A1V,6.5,  Chi3For,52.04791667,-35.85333333,35 51    12,-55.71237.56  3 28
0.09,-5.56,147.84,38912,B9III,6.39,         ,52.95458333,49.40083333,49 24     3,-5.56147.84  3 31
1.02,-47.34,191.86,130520,G5,5.99,         ,52.41291667,-6.805, 6 48    18,-47.34191.86  3 29
-0.03,-35.55,173.32,93463,A0Vn,5.14, 4    Tau,52.60208333,11.33638889,11 20    11,-35.55173.32  3 30
0.17,-50.32,199.55,148985,A5IV,5.59,         ,52.4,-12.67472222,12 40    29,-50.32199.55  3 29
-0.1,-6.65,148.68,38917,B8IIIpMn,5.47,         ,53.03583333,48.02361111,48  1    25,-6.65148.68  3 32
0.42,-42.24,285.65,248804,F3-5IV,5.96,         ,51.40083333,-69.33638889,69 20    11,-42.24285.65  3 25
1.12,-34.32,172.07,93469,K0II-IIIFe-0.5,4.11, 5    Tau,52.71833333,12.93666667,12 56    12,-34.32172.07  3 30
0.96,-39.07,178.04,111230,G8III,5.94,         ,52.68916667,6.188611111, 6 11    19,-39.07178.04  3 30
0.14,2.24,142.64,24093,A4III,6.4,         ,53.38375,58.765,58 45    54,2.24142.64  3 33
0.4,-8.22,149.87,38924,F4III,5.31,36    Per,53.10958333,46.05694444,46  3    25,-8.22149.87  3 32
-0.09,-46.18,189.96,130528,B9V s,4.73,17    Eri,52.65458333,-5.075277778, 5  4    31,-46.18189.96  3 30
0.51,1.52,143.17,24098,F7V,6.37,         ,53.42166667,57.86888889,57 52     8,1.52143.17  3 33
0.03,-9.18,150.61,38927,B2IV,6.41,         ,53.16291667,44.85555556,44 51    20,-9.18150.61  3 32
0.11,-0.84,144.84,24099,A3V,5.98,         ,53.4125,54.97472222,54 58    29,-0.84144.84  3 33
-0.06,-16.75,156.32,56531,B1V,5.9,         ,53.16666667,35.46166667,35 27    42,-16.75156.32  3 32
0.22,-54.41,249.21,216347,A5V,5.78,         ,52.47916667,-42.63416667,42 38     3,-54.41249.21  3 29
0.48,-54.61,247.06,216350,F7V,6.12,         ,52.55666667,-41.37,41 22    12,-54.61247.06  3 30
0.39,3.39,142.05,24111,F3V,6.46,         ,53.75333333,60.04111111,60  2    28,3.39142.05  3 35
0.11,-13.09,153.72,56538,A5m,5.81,         ,53.39625,39.89944444,39 53    58,-13.09153.72  3 33
-0.08,-36.55,175.51,111246,B9IV,5.77, 6    Tau,53.15,9.373611111, 9 22    25,-36.55175.51  3 32
0.97,16.2,132.81,4953,G9III-IV,6.27,         ,54.85333333,75.73972222,75 44    23,16.2132.81  3 39
0.11,-53,256.87,216357,A1V,5.99,         ,52.65416667,-47.37527778,47 22    31,-53.0256.87  3 30
0.12,-54.18,219.83,168612,A3V,6.38,         ,52.97458333,-25.61416667,25 36    51,-54.18219.83  3 31
0.4,-45.94,278.36,248819,F5IV-V,4.72,  Kap Ret,52.34458333,-62.9375,62 56    15,-45.94278.36  3 29
0.88,-48.04,195.86,130564,K2V,3.73,18Eps Eri,53.2325,-9.458333333, 9 27    30,-48.04195.86  3 32
0.89,-30.19,168.8,93494,K1IVFe-1,6.17,         ,53.53458333,17.83277778,17 49    58,-30.19168.8  3 34
0.13,-25.14,163.95,75999,A3V+A3V,5.92, 7    Tau,53.61083333,24.46444444,24 27    52,-25.14163.95  3 34
-0.06,-6.09,149.17,38980,B5Ve,4.23,37Psi Per,54.1225,48.19277778,48 11    34,-6.09149.17  3 36
-0.11,-52.78,213.52,168634,B8V+B8V,4.27,19Tau5Eri,53.44708333,-21.63277778,21 37    58,-52.78213.52  3 33
0.63,-38.17,178.7,111273,G0,6.49,         ,53.705,6.417777778, 6 25     4,-38.17178.7  3 34
1.1,-51.65,261.29,233152,K2III,5.68,         ,53.145,-50.37861111,50 22    43,-51.65261.29  3 32
0.02,-47.9,196.69,149047,A2V,6.25,         ,53.65583333,-9.868611111, 9 52     7,-47.9196.69  3 34
-0.06,-43.68,282.23,248825,B8V,5.83,         ,52.715,-66.48972222,66 29    23,-43.68282.23  3 30
0.48,-54.48,229.23,194375,F5V,6.2,         ,53.48666667,-31.08027778,31  4    49,-54.48229.23  3 33
-0.13,1.13,144.23,24133,B9p,6.3,         ,54.58208333,56.93277778,56 55    58,1.13144.23  3 38
1.4,-54.4,230.61,194379,K3III,6.4,         ,53.63958333,-31.87472222,31 52    29,-54.4230.61  3 34
1.04,-46.68,275.72,248834,K0III,6.41,         ,53.215,-61.01694444,61  1     1,-46.68275.72  3 32
-0.06,-10.44,152.76,38999,B8Vn,6.42,         ,54.50083333,42.58305556,42 34    59,-10.44152.76  3 38
0.91,-48.26,198.66,149057,gG7,5.57,         ,53.99041667,-11.19361111,11 11    37,-48.26198.66  3 35
0.92,-41.57,184.91,111291,G9V,5.71,         ,54.19708333,0.587777778, 0 35    16,-41.57184.91  3 36
-0.13,-50.85,207.47,149063,B9.5p,5.23,20    Eri,54.0725,-17.46694444,17 28     1,-50.85207.47  3 36
0.58,-41.66,185.12,111292,F9IV-V,4.28,10    Tau,54.21833333,0.401666667, 0 24     6,-41.66185.12  3 36
0.17,-31.35,171.46,93524,A5IV,6.39,         ,54.44916667,15.43083333,15 25    51,-31.35171.46  3 37
0.15,-27.13,167.43,76045,"Am,A5-F0",6.5,         ,54.75041667,20.91583333,20 54    57,-27.13167.43  3 39
0.17,-43.84,281.13,248842,A3V,6.75,         ,53.60291667,-65.76444444,65 45    52,-43.84281.13  3 34
1.63,6.44,140.84,12874,S3.5/2,5.1,         ,55.53875,63.21666667,63 13     0,6.44140.84  3 42
1.04,-53.51,244.85,216405,K1III,4.58,         ,54.27375,-40.27472222,40 16    29,-53.51244.85  3 37
0.37,24.91,125.76,623,F5IV,5.86,         ,62.50625,86.62611111,86 37    34,24.91125.76  4 10
0.98,-45.81,194.29,130628,gG5,5.85,         ,54.62166667,-7.391666667, 7 23    30,-45.81194.29  3 38
0.93,-35.8,293.79,255998,G8III,5.7,         ,52.495,-78.35194444,78 21     7,-35.8293.79  3 29
1,-30.28,170.9,93536,K0III,6.16,         ,54.85708333,16.53666667,16 32    12,-30.28170.9  3 39
0.92,-44.75,192.27,130634,K1V,5.96,21    Eri,54.75458333,-5.626111111, 5 37    34,-44.75192.27  3 39
1.71,3.9,142.87,24169,K3IIb,5.76,         ,55.67791667,59.96944444,59 58    10,3.9142.87  3 42
-0.07,-14.04,156.37,56628,B7Vne,5.57,         ,55.28291667,37.58,37 34    48,-14.04156.37  3 41
-0.02,-53.08,224.16,168701,A0V,6.01,  Tau For,54.69875,-27.94305556,27 56    35,-53.08224.16  3 38
0.94,-39.42,183.01,111334,gG6,5.57,12    Tau,54.96291667,3.056944444, 3  3    25,-39.42183.01  3 39
1.04,-43.37,189.82,130639,G5,6.23,         ,54.90958333,-3.393055556, 3 23    35,-43.37189.82  3 39
1.03,-47.14,198.28,149082,G5,6.19,         ,54.85583333,-10.43722222,10 26    14,-47.14198.28  3 39
0.06,-23.55,164.54,76073,A2IV,6.11,11    Tau,55.19291667,25.32944444,25 19    46,-23.55164.54  3 40
1,-41.97,187.38,130645,K1III-IV,6.12,         ,54.99791667,-1.120555556, 1  7    14,-41.97187.38  3 39
0.88,-49.12,204.83,149094,G5,6.33,         ,55.0475,-15.22666667,15 13    36,-49.12204.83  3 40
-0.15,-44.18,192.1,130652,B9IIIpSi4200,5.53,22    Eri,55.15958333,-5.210555556, 5 12    38,-44.18192.1  3 40
-0.13,-5.77,150.28,39053,B5IIIe,3.01,39Del Per,55.73125,47.7875,47 47    15,-5.77150.28  3 42
-0.01,-16.7,158.92,56646,B0.5V,4.97,40    Per,55.59375,33.965,33 57    54,-16.7158.92  3 42
0.35,9.84,138.68,12890,F0IV,5.8,         ,56.50375,67.20166667,67 12     6,9.84138.68  3 46
0.36,-47.4,200.36,149107,F5II,6.49,         ,55.3075,-11.80305556,11 48    11,-47.4200.36  3 41
-0.01,-27.51,169,93557,B9Vne,5.69,13    Tau,55.57875,19.70027778,19 42     1,-27.51169.0  3 42
1.55,-5.06,149.99,39063,K4III,6.06,         ,56.02666667,48.52361111,48 31    25,-5.06149.99  3 44
0.09,-50.46,211.27,149114,A3V,6.59,         ,55.34333333,-19.58472222,19 35     5,-50.46211.27  3 41
0.8,6.81,141.1,12891,G0III+A3V,4.8,         ,56.50958333,63.345,63 20    42,6.81141.1  3 46
0.28,-6.92,151.56,39071,A7IV,6.11,         ,56.17041667,46.09972222,46  5    59,-6.92151.56  3 44
0.05,-17.74,160.36,56673,B1III,3.83,38Omi Per,56.07958333,32.28833333,32 17    18,-17.74160.36  3 44
1.01,-27.3,169.31,93568,G8III,6.14,14    Tau,55.94666667,19.665,19 39    54,-27.3169.31  3 43
0.06,-14.49,157.64,56675,A2m,5.59,         ,56.13083333,36.46,36 27    36,-14.49157.64  3 44
-0.16,-52.77,230.88,194467,B5IV,5,  Del For,55.56208333,-31.93833333,31 56    18,-52.77230.88  3 42
0.42,-9.63,153.83,39078,F5II,3.77,41Nu  Per,56.29833333,42.57861111,42 34    43,-9.63153.83  3 45
0.92,-46,198.1,130686,K0+IV,3.54,23Del Eri,55.81208333,-9.763333333, 9 45    48,-46.0198.1  3 43
0.01,-26.26,168.47,76121,A0V,6.1,         ,56.11708333,20.92861111,20 55    43,-26.26168.47  3 44
0.09,12.86,136.55,5000,A2m,5.44,         ,57.3075,70.87111111,70 52    16,12.86136.55  3 49
0.22,-46.28,199.05,149132,A5m,5.6,         ,55.89083333,-10.48555556,10 29     8,-46.28199.05  3 43
-0.04,-23.73,166.04,76126,B7IV,5.46,16    Tau,56.20083333,24.28944444,24 17    22,-23.73166.04  3 44
-0.07,-7.11,152,39085,B6V,5.66,         ,56.49708333,45.68194444,45 40    55,-7.11152.0  3 45
-0.11,-23.85,166.18,76131,B6III,3.7,17    Tau,56.21875,24.11333333,24  6    48,-23.85166.18  3 44
1.2,-52.69,239.76,194475,K2.5III,4.59,         ,55.70875,-37.31361111,37 18    49,-52.69239.76  3 42
-0.07,-23.26,165.7,76137,B8V,5.64,18    Tau,56.29041667,24.83916667,24 50    21,-23.26165.7  3 45
-0.11,-23.53,165.98,76140,B6IV,4.3,19    Tau,56.30208333,24.46722222,24 28     2,-23.53165.98  3 45
-0.1,-41.08,188.32,130698,B7V,5.25,24    Eri,56.12708333,-1.163055556, 1  9    47,-41.08188.32  3 44
-0.03,1.1,145.85,24215,B9Vnn,6.1,         ,56.88416667,55.9225,55 55    21,1.1145.85  3 47
0.03,13.27,136.31,5006,A2IVn,4.63,  Gam Cam,57.58958333,71.33222222,71 19    56,13.27136.31  3 50
-0.07,-23.51,166.17,76155,B8III,3.87,20    Tau,56.45666667,24.36777778,24 22     4,-23.51166.17  3 45
1.42,-40.49,187.48,130704,K4III,5.55,25    Eri,56.23541667,-0.296666667, 0 17    48,-40.49187.48  3 44
