BV,b,l,SAO,SPtype,Vmag,name,J2000_a,J2000_d,RAhms,DEdms
-0.07,14.22,120.89,4071,B8Vnn,6.35,         ,4.058333333,76.95083333,76 57     3,14.22120.89  0 16
0.05,-18.82,116.23,36221,A2VpSi,6.15,         ,4.09,43.59472222,43 35    41,-18.82116.23  0 16
1.35,-81.18,1.53,192430,K5III,5.67,         ,4.037083333,-31.44638889,31 26    47,-81.181.53  0 16
1,-41.02,305.79,255650,G8-K0III,6.49,         ,3.98,-75.91138889,75 54    41,-41.02305.79  0 15
0.92,-53.64,108.28,109100,G8II-III,6.11,36    Psc,4.142083333,8.24, 8 14    24,-53.64108.28  0 16
0.88,-1.06,118.83,11084,G8III,5.74,         ,4.237916667,61.53333333,61 32     0,-1.06118.83  0 16
-0.09,-79.47,72.13,166167,B8III,6.47,         ,4.177083333,-20.21055556,20 12    38,-79.4772.13  0 16
-0.09,-14.53,117.01,36236,B7III,5.89,         ,4.287916667,47.9475,47 56    51,-14.53117.01  0 17
0.06,-23.7,115.62,53777,A2V,4.61,24The And,4.272916667,38.68166667,38 40    54,-23.7115.62  0 17
0.46,-38.2,305.07,255652,F3III,6.77,         ,4.204166667,-78.78055556,78 46    50,-38.2305.07  0 16
-0.13,-11.09,117.59,21273,O9IIInn,6.14,         ,4.429166667,51.43305556,51 25    59,-11.09117.59  0 17
0.37,-78.78,77.21,147205,F4IV-V,6.45,         ,4.385833333,-19.05111111,19  3     4,-78.7877.21  0 17
0.94,-60.07,105.89,109119,K0II,6.17,         ,4.44875,1.688888889, 1 41    20,-60.07105.89  0 17
0.05,-25.61,115.59,53798,A2V,4.52,25Sig And,4.582083333,36.78527778,36 47     7,-25.61115.59  0 18
1.03,-50.83,110,91832,K0III,6.05,         ,4.571666667,11.20583333,11 12    21,-50.83110.0  0 18
-0.08,-18.68,116.7,36256,B8V,6.11,26    And,4.675416667,43.79111111,43 47    28,-18.68116.7  0 18
-0.01,-30.84,114.79,53803,A0IV,5.87,         ,4.659583333,31.51722222,31 31     2,-30.84114.79  0 18
0.68,-69.4,99.29,128690,G0V,6.46,         ,4.674166667,-8.052777778, 8  3    10,-69.499.29  0 18
1.21,-72.58,323.2,215047,K2III,6.33,         ,4.6775,-43.23527778,43 14     7,-72.58323.2  0 18
1.22,-70.19,98.98,128694,K1.5III,3.56, 8Iot Cet,4.857083333,-8.823888889, 8 49    26,-70.1998.98  0 19
1.18,-21.74,116.46,36269,K1III,6.33,         ,4.923333333,40.72972222,40 43    47,-21.74116.46  0 19
0.58,-51.9,308.35,248163,F9V,4.23,  Zet Tuc,5.017916667,-64.87472222,64 52    29,-51.9308.35  0 20
-0.1,-31.47,115.13,53820,B7V,5.9,         ,5.101666667,30.93583333,30 56     9,-31.47115.13  0 20
1.59,-29.52,115.53,53825,K5III,5.79,         ,5.189583333,32.91138889,32 54    41,-29.52115.53  0 20
1.34,-53.9,109.91,109152,gK3,5.37,41    Psc,5.149583333,8.190277778, 8 11    25,-53.9109.91  0 20
0.42,-24.52,116.37,53828,F5III,5.18,27Rho And,5.280416667,37.96861111,37 58     7,-24.52116.37  0 21
-0.05,-47.27,306.87,248167,B9V,5.51,  Pi  Tuc,5.1625,-69.625,69 37    30,-47.27306.87  0 20
1,-83.15,15.52,166207,G5III,5.18,  Iot Scl,5.38,-28.98166667,28 58    54,-83.1515.52  0 21
1.82,-80.2,77.51,166210,M5IIe,5.12,         ,5.442916667,-20.05777778,20  3    28,-80.277.51  0 21
1.22,-48.78,112.19,91866,K3III,6.23,42    Psc,5.60625,13.4825,13 28    57,-48.78112.19  0 22
1.4,-39.58,305.04,255663,K3III,5.97,         ,5.369166667,-77.42694444,77 25    37,-39.58305.04  0 21
0.66,-73.64,97.34,147237,G2V,6.39, 9    Cet,5.715833333,-12.20944444,12 12    34,-73.6497.34  0 22
0,-82.7,358.89,192495,B9IVMn,6.55,         ,5.8025,-31.03611111,31  2    10,-82.7358.89  0 23
1.97,-23.98,117.07,53860,S6.5IIIeZr6Ti2,7.39,         ,6.008333333,38.57722222,38 34    38,-23.98117.07  0 24
-0.12,-10.63,118.68,21366,B5IV,5.57,         ,6.065,52.02,52  1    12,-10.63118.68  0 24
0,-0.88,119.79,11172,B9III,5.4,12    Cas,6.197916667,61.83111111,61 49    52,-0.88119.79  0 24
1.22,-64.27,107.27,128743,K1III,6.07,         ,6.12375,-2.219166667, 2 13     9,-64.27107.27  0 24
-0.06,-9.62,118.92,21381,B9IV,5.74,         ,6.276666667,53.04694444,53  2    49,-9.62118.92  0 25
0.86,-60.26,109.73,109192,G5III,5.77,44    Psc,6.350833333,1.939722222, 1 56    23,-60.26109.73  0 25
0.62,-39.77,304.81,255670,G2IV,2.8,  Bet Hyi,6.437916667,-77.25416667,77 15    15,-39.77304.81  0 25
1.09,-73.98,320.02,215093,K0III,2.39,  Alp Phe,6.570833333,-42.30611111,42 18    22,-73.98320.02  0 26
0.17,-72.68,318.42,215092,A7V,3.94,  Kap Phe,6.550833333,-43.68,43 40    48,-72.68318.42  0 26
0.9,-62.27,109.5,128760,G8III,6.19,10    Cet,6.655833333,-0.049722222, 0  2    59,-62.27109.5  0 26
1.03,-84.35,47.84,166282,G8III,5.98,         ,6.81125,-25.54722222,25 32    50,-84.3547.84  0 27
1.65,-44.62,115.1,91910,M3III,5.06,47    Psc,7.012083333,17.89305556,17 53    35,-44.62115.1  0 28
0.03,-18.28,118.57,36390,A2V s,5.17,         ,7.057083333,44.39444444,44 23    40,-18.28118.57  0 28
1.64,-82.23,342.36,192545,M4III,4.81,  Eta Scl,6.982083333,-33.00722222,33  0    26,-82.23342.36  0 27
1.58,-46.06,114.89,91912,K5III,6.06,48    Psc,7.052916667,16.445,16 26    42,-46.06114.89  0 28
0.43,-52.26,113.62,109224,F6Va vw,6.04,         ,7.08375,10.18972222,10 11    23,-52.26113.62  0 28
0.59,-81.4,83.87,166296,G0V,6.43,         ,7.087916667,-20.335,20 20     6,-81.483.87  0 28
1.56,-76.35,321.94,215103,M0III,5.43,         ,7.11,-39.915,39 54    54,-76.35321.94  0 28
0.92,-25.75,117.94,53928,G5III,6.26,         ,7.235833333,36.9,36 54     0,-25.75117.94  0 28
1.09,-66.2,311.91,232055,K0III,6.26,         ,7.179583333,-50.53277778,50 31    58,-66.2311.91  0 28
